時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-17T13:32:29,4,三國演義,bm-cent-mixed-e12-ep12-0810,3.0,20,成功,63.4,82dd45c19e114abea1686da4566bb4bb,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT20.wav,
2026-08-17T13:33:41,4,三國演義,bm-tslm-mixed-e12-ep12-0811,3.0,20,成功,71.6,d9f7495609584b19ab76afe7b710cee5,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT20.wav,
2026-08-17T13:34:54,4,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,20,成功,73.0,95ab533bfe58478fa01430923120aa7f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT20.wav,
2026-08-17T13:35:59,4,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,3.0,20,成功,65.1,6049ced533464fc8a45f3cb33642f201,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT20.wav,
2026-08-17T13:37:08,4,紅樓夢,bm-cent-mixed-e12-ep12-0810,3.0,20,成功,69.3,6433ede5396445da9c2e895baa8a6b91,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT20.wav,
2026-08-17T13:38:57,4,紅樓夢,bm-tslm-mixed-e12-ep12-0811,3.0,20,成功,108.4,3f5cd7d77c294e07a76a76897fe77f51,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT20.wav,
2026-08-17T13:40:12,4,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,20,成功,75.2,1b7285593d7d4674a9e9273c7de6f474,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT20.wav,
2026-08-17T13:41:26,4,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,3.0,20,成功,74.0,14351d64897541aca29057885a7700bb,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT20.wav,
2026-08-17T13:42:45,4,新聞,bm-cent-mixed-e12-ep12-0810,3.0,20,成功,78.1,3db38121b8c743de9e04375a31ae3e5c,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-cent-mixed-e12-ep12-0810_CFG3.0_DIT20.wav,
2026-08-17T13:43:56,4,新聞,bm-tslm-mixed-e12-ep12-0811,3.0,20,成功,71.7,98bae8ea70a34dfdba3123658f790c48,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-e12-ep12-0811_CFG3.0_DIT20.wav,
2026-08-17T13:45:11,4,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,3.0,20,成功,74.3,6f309ba4fc25477eba9bfd6e5c550c70,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG3.0_DIT20.wav,
2026-08-17T13:46:28,4,新聞,bm-tslm-mixed-mixedval-e2.0-0804,3.0,20,成功,77.5,5a256b9287644e6ab0f9928929df55b3,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG3.0_DIT20.wav,
